key,value
AccountTrie.Name,account trie
TopByDepth[2].Levels[9].Value,1462313
TopByDepth[2].Levels[9].Size,2172955
TopByDepth[2].Levels[10].Short,471
TopByDepth[2].Levels[10].Full,2
TopByDepth[2].Levels[10].Value,69406
TopByDepth[2].Levels[10].Size,15557
TopByDepth[2].Levels[11].Short,4
TopByDepth[2].Levels[11].Full,0
TopByDepth[2].Levels[11].Value,471
TopByDepth[2].Levels[11].Size,153
TopByDepth[2].Levels[12].Short,0
TopByDepth[2].Levels[12].Full,0
TopByDepth[2].Levels[12].Value,4
TopByDepth[2].Levels[12].Size,0
TopByDepth[2].Summary.Short,20939995
TopByDepth[2].Summary.Full,7493743
TopByDepth[2].Summary.Value,20669980
TopByDepth[2].Summary.Size,1969261801
TopByDepth[3].Owner,0x1ff0800a6e13bdcaff61b95238167ef377e01ba97f832b3f9c149aad1d9f6a21
TopByDepth[3].MaxDepth,12
TopByDepth[3].TotalNodes,41595415
TopByDepth[3].TotalSize,1917312891
TopByDepth[3].ValueNodes,17585359
TopByDepth[3].Levels[0].Short,0
TopByDepth[3].Levels[0].Full,1
TopByDepth[3].Levels[0].Value,0
TopByDepth[3].Levels[0].Size,532
TopByDepth[3].Levels[1].Short,0
TopByDepth[3].Levels[1].Full,16
TopByDepth[3].Levels[1].Value,0
TopByDepth[3].Levels[1].Size,8512
TopByDepth[3].Levels[2].Short,0
TopByDepth[3].Levels[2].Full,256
TopByDepth[3].Levels[2].Value,0
TopByDepth[3].Levels[2].Size,136192
TopByDepth[3].Levels[3].Short,0
TopByDepth[3].Levels[3].Full,4096
TopByDepth[3].Levels[3].Value,0
TopByDepth[3].Levels[3].Size,2179072
TopByDepth[3].Levels[4].Short,0
TopByDepth[3].Levels[4].Full,65536
TopByDepth[3].Levels[4].Value,0
TopByDepth[3].Levels[4].Size,34865152
TopByDepth[3].Levels[5].Short,2
TopByDepth[3].Levels[5].Full,1048574
TopByDepth[3].Levels[5].Value,0
TopByDepth[3].Levels[5].Size,369617080
TopByDepth[3].Levels[6].Short,6371905
TopByDepth[3].Levels[6].Full,4525479
TopByDepth[3].Levels[6].Value,1
TopByDepth[3].Levels[6].Size,799075182
TopByDepth[3].Levels[7].Short,10327614
TopByDepth[3].Levels[7].Full,529444
TopByDepth[3].Levels[7].Value,6165389
TopByDepth[3].Levels[7].Size,644861778
TopByDepth[3].Levels[8].Short,1066872
TopByDepth[3].Levels[8].Full,23285
TopByDepth[3].Levels[8].Value,10306373
TopByDepth[3].Levels[8].Size,63943040
TopByDepth[3].Levels[9].Short,46592
TopByDepth[3].Levels[9].Full,127
TopByDepth[3].Levels[9].Value,1066749
TopByDepth[3].Levels[9].Size,2612170
TopByDepth[3].Levels[10].Short,254
TopByDepth[3].Levels[10].Full,1
TopByDepth[3].Levels[10].Value,46591
TopByDepth[3].Levels[10].Size,14063
TopByDepth[3].Levels[11].Short,2
TopByDepth[3].Levels[11].Full,0
TopByDepth[3].Levels[11].Value,254
TopByDepth[3].Levels[11].Size,118
TopByDepth[3].Levels[12].Short,0
TopByDepth[3].Levels[12].Full,0
TopByDepth[3].Levels[12].Value,2
TopByDepth[3].Levels[12].Size,0
TopByDepth[3].Summary.Short,17813241
